City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,labrador city,52.9463,-66.9114,37.31,75,75,3.44,CA,Mon Oct 16 20:30:10 2023
115,zhezqazghan,47.7833,67.7667,34.38,86,0,8.95,KZ,Mon Oct 16 20:32:13 2023
116,puerto aysen,-45.4,-72.7,39.56,98,100,4.09,CL,Mon Oct 16 20:29:13 2023
117,bad bentheim,52.3167,7.1667,41.31,92,94,5.75,DE,Mon Oct 16 20:32:14 2023
118,hacienda huancane,-15.8222,-70.8856,45.07,52,62,3.31,PE,Mon Oct 16 20:32:15 2023
119,san antonio de pale,-1.4014,5.6325,78.24,80,100,12.19,GQ,Mon Oct 16 20:32:15 2023
120,uturoa,-16.7333,-151.4333,78.37,79,50,14.65,PF,Mon Oct 16 20:32:16 2023
121,gulf shores,30.246,-87.7008,57.67,75,0,0.0,US,Mon Oct 16 20:27:19 2023
122,georgetown,5.4112,100.3354,80.65,81,20,13.8,MY,Mon Oct 16 20:29:03 2023
123,port alfred,-33.5906,26.891,57.18,95,55,14.54,ZA,Mon Oct 16 20:32:17 2023
124,bichura,50.5881,107.6022,40.48,74,89,8.99,RU,Mon Oct 16 20:32:17 2023
125,kirakira,-10.4544,161.9205,84.24,74,100,6.8,SB,Mon Oct 16 20:32:17 2023
126,yellowknife,62.456,-114.3525,40.41,100,20,5.75,CA,Mon Oct 16 20:28:02 2023
127,menongue,-14.6585,17.691,67.44,68,97,5.01,AO,Mon Oct 16 20:32:18 2023
128,ar ruseris,11.8659,34.3869,75.58,83,100,3.47,SD,Mon Oct 16 20:32:19 2023
129,kavaratti,10.5669,72.642,82.56,75,100,10.33,IN,Mon Oct 16 20:32:19 2023
130,moyale,3.5167,39.0584,67.89,85,100,3.02,KE,Mon Oct 16 20:32:19 2023
131,port blair,11.6667,92.75,80.64,94,40,2.3,IN,Mon Oct 16 20:32:20 2023
132,bahua,25.85,80.6333,72.41,79,22,4.14,IN,Mon Oct 16 20:32:20 2023
133,talnakh,69.4865,88.3972,29.21,95,100,4.68,RU,Mon Oct 16 20:32:20 2023
134,lompoc,34.6391,-120.4579,63.95,79,0,21.0,US,Mon Oct 16 20:31:42 2023
135,la'ie,21.6477,-157.9253,84.52,70,91,5.01,US,Mon Oct 16 20:29:41 2023
136,greymouth,-42.4667,171.2,51.82,85,100,3.51,NZ,Mon Oct 16 20:32:21 2023
137,es castell,39.8795,4.2854,72.28,83,40,8.05,ES,Mon Oct 16 20:32:22 2023
138,jamestown,42.097,-79.2353,47.1,98,100,5.75,US,Mon Oct 16 20:29:13 2023
139,east ballina,-28.8667,153.5833,73.8,51,6,16.75,AU,Mon Oct 16 20:32:22 2023
140,qujing,25.4833,103.7833,63.9,65,66,11.07,CN,Mon Oct 16 20:32:23 2023
141,namie,37.4833,141.0,65.71,47,0,16.04,JP,Mon Oct 16 20:32:23 2023
142,enewetak,11.3474,162.3373,84.07,75,8,14.14,MH,Mon Oct 16 20:32:24 2023
143,bardai,11.65,7.2333,74.01,57,100,4.52,NG,Mon Oct 16 20:32:24 2023
144,tazacorte,28.629,-17.9293,75.15,33,0,8.99,ES,Mon Oct 16 20:32:24 2023
145,kalabo,-14.97,22.6814,73.53,62,97,1.57,ZM,Mon Oct 16 20:32:25 2023
146,mount pearl,47.5166,-52.7813,46.8,97,100,23.02,CA,Mon Oct 16 20:32:25 2023
147,juneau,58.3019,-134.4197,50.02,97,100,4.61,US,Mon Oct 16 20:29:16 2023
148,jajpur,20.85,86.3333,79.05,73,1,3.78,IN,Mon Oct 16 20:32:25 2023
149,pelabuhanratu,-6.9875,106.5514,87.6,61,78,1.88,ID,Mon Oct 16 20:32:26 2023
150,mezhdurechenskiy,59.6,65.9333,52.3,85,14,11.99,RU,Mon Oct 16 20:32:26 2023
151,griffith,41.5284,-87.4237,51.58,76,100,11.5,US,Mon Oct 16 20:31:55 2023
152,flin flon,54.7682,-101.865,47.98,69,0,4.12,CA,Mon Oct 16 20:32:27 2023
153,hamilton,39.1834,-84.5333,51.85,82,100,5.99,US,Mon Oct 16 20:31:28 2023
154,haapsalu,58.9431,23.5414,43.36,78,97,19.46,EE,Mon Oct 16 20:32:28 2023
155,selfoss,63.9331,-20.9971,39.04,85,100,6.08,IS,Mon Oct 16 20:32:28 2023
156,pyinmana,19.7333,96.2167,79.83,79,25,1.16,MM,Mon Oct 16 20:32:28 2023
157,pisco,-13.7,-76.2167,66.25,88,75,13.8,PE,Mon Oct 16 20:32:29 2023
158,aracati,-4.5617,-37.7697,78.35,73,99,13.98,BR,Mon Oct 16 20:32:29 2023
159,melekeok village,7.4957,134.6367,86.56,74,75,6.91,PW,Mon Oct 16 20:32:29 2023
160,tambopata,-12.7333,-69.1833,74.55,83,22,3.18,PE,Mon Oct 16 20:32:30 2023
161,praya,14.9215,-23.5087,84.74,45,20,16.11,CV,Mon Oct 16 20:32:30 2023
162,nizhnesortymskiy,62.4397,71.7603,42.12,94,100,9.71,RU,Mon Oct 16 20:32:30 2023
163,nizhny tagil,57.9194,59.965,50.22,80,10,8.5,RU,Mon Oct 16 20:32:31 2023
164,bamboo flat,11.7,92.7167,80.69,94,40,2.3,IN,Mon Oct 16 20:32:31 2023
165,tomatlan,19.9333,-105.25,80.11,83,99,3.15,MX,Mon Oct 16 20:27:43 2023
166,chuhuyiv,49.8359,36.688,41.07,82,76,15.19,UA,Mon Oct 16 20:32:32 2023
167,longyearbyen,78.2186,15.6401,24.64,63,40,10.36,SJ,Mon Oct 16 20:32:32 2023
168,kolonia town,6.964,158.206,93.2,66,75,5.75,FM,Mon Oct 16 20:32:32 2023
169,novospasskoye,53.1468,47.7514,51.69,52,100,22.26,RU,Mon Oct 16 20:32:33 2023
170,santa ana,33.7456,-117.8678,77.11,61,0,5.75,US,Mon Oct 16 20:29:59 2023
171,beitbridge,-22.2167,30.0,66.45,88,100,10.96,ZW,Mon Oct 16 20:32:33 2023
172,ghat,24.9647,10.1728,74.97,22,0,3.87,LY,Mon Oct 16 20:32:34 2023
173,verkhnevilyuysk,63.4453,120.3167,26.94,69,100,8.01,RU,Mon Oct 16 20:32:34 2023
174,atafu village,-8.5421,-172.5159,83.32,77,100,14.94,TK,Mon Oct 16 20:32:35 2023
175,vila franca do campo,37.7167,-25.4333,68.88,99,89,9.15,PT,Mon Oct 16 20:32:35 2023
176,mount isa,-20.7333,139.5,87.57,16,1,12.66,AU,Mon Oct 16 20:32:35 2023
177,uchiza,-8.4592,-76.4633,72.46,88,99,2.35,PE,Mon Oct 16 20:32:36 2023
178,akureyri,65.6835,-18.0878,30.13,93,0,0.0,IS,Mon Oct 16 20:32:36 2023
179,egilsstadir,65.2653,-14.3948,33.71,93,100,2.3,IS,Mon Oct 16 20:32:37 2023
180,newman,37.3138,-121.0208,76.15,58,100,5.01,US,Mon Oct 16 20:32:37 2023
181,lubang,13.8584,120.124,82.69,77,5,15.43,PH,Mon Oct 16 20:32:37 2023
182,chongwe,-15.3292,28.682,68.43,85,100,5.86,ZM,Mon Oct 16 20:32:38 2023
183,xining,36.6167,101.7667,42.91,78,98,0.6,CN,Mon Oct 16 20:30:57 2023
184,fale old settlement,-9.3852,-171.2468,83.68,76,100,17.38,TK,Mon Oct 16 20:32:39 2023
185,sikasso,10.9167,-7.0,73.99,90,100,3.65,ML,Mon Oct 16 20:32:39 2023
186,afaahiti,-17.75,-149.2833,84.07,83,100,13.04,PF,Mon Oct 16 20:32:39 2023
187,broome,42.2506,-75.833,49.75,93,100,9.22,US,Mon Oct 16 20:32:40 2023
188,wotho,10.1657,166.0102,84.02,75,3,16.24,MH,Mon Oct 16 20:32:40 2023
189,sisimiut,66.9395,-53.6735,18.23,82,92,12.68,GL,Mon Oct 16 20:32:40 2023
190,sur,22.5667,59.5289,81.21,68,0,8.84,OM,Mon Oct 16 20:32:41 2023
191,vershino-darasunskiy,52.35,115.5167,34.41,60,92,13.47,RU,Mon Oct 16 20:32:41 2023
192,sinabang,2.4803,96.3801,76.89,90,100,6.46,ID,Mon Oct 16 20:32:41 2023
193,prince rupert,54.3161,-130.3201,54.43,97,100,17.27,CA,Mon Oct 16 20:32:41 2023
194,huangpi,30.8845,114.3779,69.91,60,0,6.71,CN,Mon Oct 16 20:32:42 2023
195,la ronge,55.1001,-105.2842,50.25,71,0,0.0,CA,Mon Oct 16 20:32:42 2023
196,port mathurin,-19.6833,63.4167,75.63,85,3,7.31,MU,Mon Oct 16 20:32:42 2023
197,tiksi,71.6872,128.8694,8.42,92,93,6.44,RU,Mon Oct 16 20:32:43 2023
198,verkhov'ye,52.8119,37.2425,39.29,84,100,17.87,RU,Mon Oct 16 20:32:43 2023
199,carnarvon,-24.8667,113.6333,85.5,36,0,8.1,AU,Mon Oct 16 20:32:43 2023
200,piti village,13.4626,144.6933,86.92,75,40,9.22,GU,Mon Oct 16 20:32:44 2023
201,el calafate,-50.3408,-72.2768,42.15,82,82,9.06,AR,Mon Oct 16 20:32:44 2023
202,st albans,51.75,-0.3333,48.54,90,100,6.91,GB,Mon Oct 16 20:32:44 2023
203,koryazhma,61.3143,47.1691,42.91,95,100,2.3,RU,Mon Oct 16 20:32:45 2023
204,joao alfredo,-7.8558,-35.5883,67.95,85,91,4.59,BR,Mon Oct 16 20:32:45 2023
205,saint-pierre,-21.3393,55.4781,73.08,78,0,3.44,RE,Mon Oct 16 20:32:46 2023
206,benguela,-12.5763,13.4055,72.48,82,100,3.76,AO,Mon Oct 16 20:32:46 2023
207,daru,-9.0763,143.2092,80.4,78,72,10.45,PG,Mon Oct 16 20:32:46 2023
208,chonchi,-42.6128,-73.8092,46.11,98,11,3.85,CL,Mon Oct 16 20:32:47 2023
209,itoman,26.1247,127.6694,78.82,53,20,13.8,JP,Mon Oct 16 20:32:47 2023
210,belmonte,-15.8631,-38.8828,73.13,82,9,3.53,BR,Mon Oct 16 20:32:47 2023
211,rongelap,11.1635,166.8941,83.71,76,4,18.07,MH,Mon Oct 16 20:32:48 2023
212,nha trang,12.25,109.1833,84.2,68,64,1.14,VN,Mon Oct 16 20:32:48 2023
213,keflavik,64.0049,-22.5624,41.43,87,75,9.22,IS,Mon Oct 16 20:32:48 2023
214,namibe,-15.1961,12.1522,63.32,84,99,5.03,AO,Mon Oct 16 20:32:49 2023
215,carutapera,-1.195,-46.02,77.32,88,96,6.29,BR,Mon Oct 16 20:32:49 2023
216,fort mcmurray,56.7268,-111.381,54.91,58,0,4.61,CA,Mon Oct 16 20:32:49 2023
217,fada,9.5667,8.3,70.75,86,100,0.34,NG,Mon Oct 16 20:32:50 2023
218,punta arenas,-53.15,-70.9167,44.71,70,40,17.27,CL,Mon Oct 16 20:32:50 2023
219,callao,-12.0667,-77.15,64.69,82,75,10.36,PE,Mon Oct 16 20:32:50 2023
220,petropavlovsk-kamchatsky,53.0452,158.6483,43.45,88,75,13.42,RU,Mon Oct 16 20:32:51 2023
221,geraldton,-28.7667,114.6,77.41,53,0,8.05,AU,Mon Oct 16 20:30:51 2023
222,le port,-20.9373,55.2919,69.13,96,34,5.57,RE,Mon Oct 16 20:32:51 2023
223,lobito,-12.3481,13.5456,72.48,84,100,5.28,AO,Mon Oct 16 20:32:51 2023
224,guarapari,-20.6667,-40.4975,75.88,93,3,7.7,BR,Mon Oct 16 20:32:52 2023
225,acarau,-2.8856,-40.12,78.62,77,2,13.06,BR,Mon Oct 16 20:32:52 2023
226,west island,-12.1568,96.8225,78.78,89,40,13.8,CC,Mon Oct 16 20:32:52 2023
227,zaozersk,69.4005,32.4476,34.09,74,90,12.84,RU,Mon Oct 16 20:32:53 2023
228,bikenibeu village,1.3673,173.1241,89.56,66,75,10.36,KI,Mon Oct 16 20:32:53 2023
229,sorong,-0.8833,131.25,82.22,74,100,7.61,ID,Mon Oct 16 20:32:53 2023
230,galliano,29.4422,-90.2992,54.73,76,0,0.0,US,Mon Oct 16 20:32:54 2023
231,bull savanna,17.8868,-77.5902,78.48,82,95,1.07,JM,Mon Oct 16 20:32:54 2023
232,arkhangel'sk,64.5401,40.5433,39.13,78,100,9.53,RU,Mon Oct 16 20:32:54 2023
233,taco pozo,-25.6167,-63.2833,87.93,23,39,16.46,AR,Mon Oct 16 20:32:55 2023
234,quellon,-43.1167,-73.6167,43.97,87,3,10.36,CL,Mon Oct 16 20:32:55 2023
